ID,COUNTRY,AGE,GENDER,DATE,SITE,ROLE,ENTRY_TIME,EXIT_TIME,NO OF HOURS WORKED,EXTRA HOURS WORKED,TOTAL HOURS,ACTIVE TIME OF WORKER,BODY TEMP,HAZARDIOUS
Mc-01311,malsiya,32,male,12-11-2022,H,lifter,06:30,14:00,08:00,0,8,4,104,0
Mc-01312,malsiya,32,male,12-11-2022,I,concreater,06:50,14:00,08:00,0,8,6,99,0
Mc-01313,malsiya,22,female,12-11-2022,J,lifter,06:00,14:00,08:00,0,8,4,98,0
Mc-01314,malsiya,45,male,12-11-2022,A,sweeper,06:00,14:00,08:00,0,8,6,102,0
Mc-01315,malsiya,36,male,12-11-2022,B,concreater,06:00,14:00,08:00,0,8,6,96,0
Mc-01316,malsiya,44,male,12-11-2022,C,concreater,06:30,14:00,08:00,0,8,4,95,0
Mc-01317,malsiya,35,male,12-11-2022,D,lifter,06:50,14:00,08:00,0,8,7,98,0
Mc-01318,malsiya,29,male,12-11-2022,E,concreater,06:00,14:00,08:00,0,8,6,93,0
Mc-01319,malsiya,25,female,12-11-2022,F,lifter,06:00,14:00,08:00,0,8,4,98,0
Mc-01320,malsiya,28,male,12-11-2022,G,sweeper,06:00,14:00,08:00,0,8,6,99,0
Mc-01321,malsiya,45,male,12-11-2022,H,concreater,06:30,14:00,08:00,0,8,4,98,0
Mc-01322,malsiya,32,male,12-11-2022,I,concreater,06:50,14:00,08:00,0,8,6,102,0
Mc-01323,malsiya,22,male,12-11-2022,J,lifter,06:00,14:00,08:00,0,8,6,96,0
Mc-01324,malsiya,25,male,12-11-2022,A,concreater,06:00,18:00,08:00,4,12,11,95,0
Mc-01325,malsiya,26,female,12-11-2022,B,lifter,06:00,14:00,08:00,0,8,7,98,0
Mc-01326,malsiya,23,male,12-11-2022,C,sweeper,06:30,14:00,08:00,0,8,6,93,0
Mc-01327,malsiya,43,male,12-11-2022,D,concreater,06:50,14:00,08:00,0,8,4,98,0
Mc-01328,malsiya,46,male,12-11-2022,E,concreater,06:00,14:00,08:00,0,8,6,104,0
Mc-01329,malsiya,41,male,12-11-2022,F,lifter,06:00,14:00,08:00,0,8,4,99,0
Mc-01330,malsiya,40,male,12-11-2022,G,concreater,06:00,14:00,08:00,0,8,6,98,0
Mc-01331,malsiya,37,female,12-11-2022,H,lifter,06:30,14:00,08:00,0,8,6,102,0
Mc-01332,malsiya,38,male,12-11-2022,I,sweeper,06:50,14:00,08:00,0,8,4,96,0
Mc-01333,malsiya,39,male,12-11-2022,J,concreater,06:00,14:00,08:00,0,8,7,95,0
